;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;pietro;l_pieter;rok_bud;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry;dst_center;vist_dist;trams_dist;cena_za_metr2;parks
0;Atrakcyjny Apartament /ul. Babinicza , Kraków;Kraków , Dębniki, Kliny-Zacisze;2 pokoje;524000.0;64.0;8188.0;https://www.otodom.pl/oferta/atrakcyjny-apartament-ul-babinicza-krakow-ID445Tp.html#332e1d6712;2020-02-10 18:47:33.107162;1.0;2.0;1999.0;Babinicza;Kraków, Kraków , Dębniki, Kliny-Zacisze, Babinicza;Babinicza, Kobierzyn, Swoszowice, Kraków, województwo małopolskie, 30-389, Polska;(50.0011381, 19.899539, 0.0);50.0011381;19.899539;0.0;POINT (564446.0029997233 237482.5115945647);7201;4125.17641762272;2017.2813065398125;8188.0;484.40007028314193
1;SPRZEDAŻ mieszkania 47m2 (Żywiecka) BEZPOŚREDNIO; , Łagiewniki-Borek Fałęcki, Borek Fałęcki;2 pokoje;373000.0;47.0;7936.0;https://www.otodom.pl/oferta/sprzedaz-mieszkania-47m2-zywiecka-bezposrednio-ID43HTR.html#de3f47c1fe;2020-02-22 10:33:37.119939;2.0;3.0;2007.0;Żywiecka; , Łagiewniki-Borek Fałęcki, Borek Fałęcki, Żywiecka;Żywiecka, Borek Fałęcki, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-427, Polska;(50.0144002, 19.9186276, 0.0);50.0144002;19.9186276;0.0;POINT (565795.4463761736 238973.2027133685);5363;3066.6086770287006;583.8993711351666;7936.0;119.26743220271291
2;Przestronne, funkcjonalne 3pok Głowackiego; , Krowodrza;3 pokoje;570000.0;63.32;9002.0;https://www.otodom.pl/oferta/przestronne-funkcjonalne-3pok-glowackiego-ID44Ol6.html#de3f47c1fe;2020-02-22 10:33:47.888246;2.0;4.0;2004.0;Słowackiego; , Krowodrza, Słowackiego;Aleja Juliusza Słowackiego, Kleparz, Krowodrza, Kraków, województwo małopolskie, 30-004, Polska;(50.0735485, 19.9360058, 0.0);50.0735485;19.9360058;0.0;POINT (566957.7834913594 245562.9411296882);1403;2093.462543540922;37.70732057601797;9002.0;136.3936790961927
3;Okazja ! Obozowa - mieszkanie po remoncie 2 pokoje; , Podgórze;2 pokoje;413000.0;51.0;8098.0;https://www.otodom.pl/oferta/okazja-obozowa-mieszkanie-po-remoncie-2-pokoje-ID44Edt.html#de3f47c1fe;2020-02-22 10:34:02.638503;1.0;3.0;2005.0;Obozowa; , Podgórze, Obozowa;Obozowa, Kobierzyn, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-384, Polska;(50.0162831, 19.9088353, 0.0);50.0162831;19.9088353;0.0;POINT (565091.5527027509 239173.914675843);5391;2591.854167809747;919.6519607362463;8098.0;644.0825350162598
4;Widokowe dwupokojowe z jasną kuchnią Żabiniec; , Prądnik Biały;2 pokoje;480000.0;48.4;9917.0;https://www.otodom.pl/oferta/widokowe-dwupokojowe-z-jasna-kuchnia-zabiniec-ID44ERi.html#de3f47c1fe;2020-02-22 10:34:08.979724;6.0;7.0;2001.0;Żabiniec; , Prądnik Biały, Żabiniec;Żabiniec, Prądnik Biały, Kraków, województwo małopolskie, 31-200, Polska;(50.0851745, 19.9473248, 0.0);50.0851745;19.9473248;0.0;POINT (567751.0951210554 246865.3778822608);2769;3550.730224797943;837.9336980038183;9917.0;235.63692196033858
5;Kawalerka 17m2 ul.Bonerowska/Poczta Główna, Kraków;Kraków , Stare Miasto;1 pokój;277365.0;16.81;16500.0;https://www.otodom.pl/oferta/kawalerka-17m2-ul-bonerowska-poczta-glowna-krakow-ID44GcT.html#de3f47c1fe;2020-02-22 11:37:41.298868;0.0;5.0;1920.0;Główna;Kraków , Stare Miasto, Główna;Poczta Główna, Stare Miasto, Kraków, województwo małopolskie, Polska;(50.059870849999996, 19.94236407317203, 0.0);50.05987085;19.94236407317203;0.0;POINT (567431.794458025 244048.390250098);336;934.301199766115;7.643405105987252;16500.0;2.5195849555137877
6;Ruczaj. Grota-Roweckiego. 72m, 4/4. (Z potencjałem;Kraków , Dębniki, Ruczaj;4 pokoje;569000.0;71.46;7962.0;https://www.otodom.pl/oferta/ruczaj-grota-roweckiego-72m-4-4-z-potencjalem-ID44kpG.html#bcc2421ba9;2020-02-22 11:38:23.761437;4.0;4.0;1989.0;Grota-Roweckiego;Kraków , Dębniki, Ruczaj, Grota-Roweckiego;Generała Stefana Grota-Roweckiego, Osiedle Ruczaj-Zaborze, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-376, Polska;(50.0293477, 19.91197, 0.0);50.0293477;19.91197;0.0;POINT (565298.3461236949 240628.7681384189);3980;1419.9267301065622;55.075755621055826;7962.0;229.7656986405039
7;Felińskiego, 2 pokoje, 38m2;Kraków , Prądnik Biały;2 pokoje;365000.0;38.0;9605.0;https://www.otodom.pl/oferta/felinskiego-2-pokoje-38m2-ID44O7S.html#bcc2421ba9;2020-02-22 11:38:43.761577;1.0;5.0;2013.0;Felińskiego;Kraków , Prądnik Biały, Felińskiego;Arcybiskupa Zygmunta Szczęsnego Felińskiego, Osiedle Gotyk, Prądnik Biały, Kraków, województwo małopolskie, 31-241, Polska;(50.1003129, 19.9670423, 0.0);50.1003129;19.9670423;0.0;POINT (569139.4476888189 248566.0846677488);4838;4659.909551553634;2172.2278421027677;9605.0;587.5751035040578
8;Prądnik Biały 55,5M2 3 Pokoje;Kraków , Prądnik Biały;3 pokoje;600000.0;55.5;10811.0;https://www.otodom.pl/oferta/pradnik-bialy-55-5m2-3-pokoje-ID44O7R.html#bcc2421ba9;2020-02-22 11:38:44.543861;7.0;8.0;2014.0;Prądnicka;Kraków , Prądnik Biały, Prądnicka;Prądnicka, Prądnik Biały, Kraków, województwo małopolskie, 31-202, Polska;(50.0875229, 19.9385333, 0.0);50.0875229;19.9385333;0.0;POINT (567119.0717439586 247118.4659837764);2949;3655.939797525753;473.4070765417071;10811.0;310.36166379018505
9;Żwirki i Wigury, 2 pokoje, 35m2;Kraków , Grzegórzki, Olsza;2 pokoje;387000.0;35.0;11057.0;https://www.otodom.pl/oferta/zwirki-i-wigury-2-pokoje-35m2-ID44O7Q.html#bcc2421ba9;2020-02-22 11:38:45.528649;0.0;1.0;1920.0;Wigury;Kraków , Grzegórzki, Olsza, Wigury;Żwirki i Wigury, Olsza II, Prądnik Czerwony, Kraków, województwo małopolskie, 31-462, Polska;(50.0794421, 19.9722129, 0.0);50.0794421;19.9722129;0.0;POINT (569539.3139024054 246251.0925405584);3189;2347.053973018209;1190.0536305768587;11057.0;820.3520596588546
